cust_id,P(Purchase),PSIM,cust_type
74329710,1,0.697623781,Target
35199607,1,0.67213315,Target
30379793,1,0.666959568,Target
20049997,1,0.663870769,Target
19229946,1,0.661900248,Target
59759975,1,0.661203527,Target
75919735,1,0.660966143,Target
65979993,1,0.660259224,Target
41029953,1,0.66017195,Target
38789712,1,0.65960217,Target
76579825,1,0.654840481,Target
63779936,1,0.654615852,Target
69209817,1,0.650599013,Target
72759832,1,0.648654103,Target
81909565,1,0.645733136,Target
63739689,1,0.64536784,Target
89549991,1,0.643623345,Target
36429826,1,0.641760846,Target
40139886,0.999999994,0.640940269,Target
16269610,1,0.640467753,Target
69389918,1,0.638447661,Target
62829619,1,0.635427119,Target
28049788,1,0.632096904,Target
14509826,1,0.63188633,Target
289996,1,0.631321095,Target
74089696,1,0.63115705,Target
74849831,0.999889297,0.630891856,Target
52089826,1,0.63036474,Target
92309822,1,0.627337881,Target
28889895,1,0.622276028,Target
92139922,1,0.62105002,Target
48819714,1,0.619340021,Target
65179986,1,0.619298063,Target
72969591,1,0.61858372,Target
99569634,1,0.617949013,Target
90639982,1,0.615964886,Target
37989556,1,0.615842607,Target
20779661,1,0.61479436,Target
71399913,1,0.614640416,Target
33169596,1,0.61413317,Target
92689781,1,0.613995841,Target
48829987,1,0.613361631,Target
88409976,1,0.611632144,Target
81879929,1,0.610632358,Target
16269899,1,0.607907916,Target
95029657,1,0.607597179,Target
76369975,1,0.605001179,Target
88019604,1,0.604482998,Target
7349772,1,0.604421122,Target
44349990,1,0.603457258,Target
75549816,1,0.603127774,Target
22639828,1,0.601280506,Target
10279902,0.816728696,0.600540326,Target
16379814,1,0.600066206,Target
21439812,1,0.599177973,Target
92619600,1,0.59871445,Target
41009992,1,0.595731286,Target
54339975,1,0.594096674,Target
87959993,1,0.593128161,Target
80209969,1,0.592952196,Target
78539992,1,0.5920686,Target
79259680,1,0.592059639,Target
92629572,1,0.589812019,Target
31529975,1,0.587524955,Target
25509840,1,0.585294959,Target
18259955,1,0.585133991,Target
71799691,1,0.585040428,Target
54779807,1,0.584870848,Target
65049997,1,0.584346758,Target
289975,1,0.584255971,Target
91639971,1,0.584050243,Target
5369881,1,0.584037888,Target
50389832,1,0.583920316,Target
4109594,1,0.582949887,Target
71809833,1,0.582824913,Target
7249820,1,0.582229806,Target
46349979,1,0.5820529,Target
64699907,1,0.580377578,Target
85399739,1,0.580082009,Target
38609970,1,0.580056925,Target
51529943,1,0.579982687,Target
50219938,1,0.57869275,Target
1459955,1,0.57700907,Target
26439761,1,0.576874982,Target
13559676,1,0.57653525,Target
81439559,1,0.575837906,Target
33419626,1,0.575784522,Target
48419753,1,0.57466169,Target
58069679,1,0.573888316,Target
49969850,1,0.573065182,Target
1209903,1,0.571909744,Target
21619611,1,0.571454857,Target
44969803,1,0.569029704,Target
94629802,1,0.568904503,Target
45229831,1,0.568374499,Target
76089937,1,0.567790086,Target
67889974,1,0.567724842,Target
22079990,1,0.567691141,Target
43209587,1,0.566825746,Target
12929901,1,0.56670508,Target
88699787,1,0.565684962,Target
63039914,1,0.565107927,Target
3789517,1,0.564949821,Target
32429846,1,0.564841166,Target
14669762,1,0.564830189,Target
97889831,1,0.564377814,Target
6409830,1,0.564124384,Target
20519831,1,0.564023643,Target
609815,1,0.562867583,Target
29049955,1,0.562663939,Target
83639755,1,0.562607203,Target
36829591,1,0.562588961,Target
48929631,1,0.562541552,Target
18369988,1,0.562138168,Target
38329808,1,0.561935417,Target
89449594,1,0.561862098,Target
93929673,1,0.561771744,Target
45029889,1,0.56175918,Target
84359863,1,0.560666806,Target
55529829,1,0.560307228,Target
58139872,1,0.559554976,Target
19109770,1,0.558965756,Target
80089813,1,0.558945906,Target
36389983,1,0.558783347,Target
59869621,1,0.558081309,Target
81259764,1,0.557152562,Target
81609864,1,0.557017032,Target
91719646,1,0.556164341,Target
57399861,1,0.555995198,Target
90039584,1,0.554350903,Target
70059863,1,0.553794183,Target
68909737,1,0.553511145,Target
38229815,1,0.553392812,Target
56379915,1,0.55255421,Target
35929946,1,0.551882773,Target
74879910,1,0.550986815,Target
17829579,1,0.550877642,Target
66099545,1,0.550765902,Target
85259753,1,0.55002479,Target
53709984,1,0.550023791,Target
96279994,1,0.548504318,Target
15169906,1,0.548270609,Target
54519800,1,0.547847007,Target
49459807,0.999999997,0.547690398,Target
75429620,1,0.54736669,Target
2619622,1,0.547342503,Target
18519751,1,0.547251874,Target
68289745,1,0.546721339,Target
15479797,1,0.545957838,Target
28149595,1,0.545432389,Target
69239726,1,0.545010867,Target
26619784,1,0.544540549,Target
33109819,1,0.544225752,Target
79799813,1,0.544205448,Target
86509985,1,0.54355444,Target
7189760,1,0.54341996,Target
92719644,1,0.542652457,Target
75829901,1,0.54242946,Target
22119614,1,0.541300646,Target
70599860,1,0.540222325,Target
52609878,1,0.540180294,Target
32239645,1,0.539725206,Target
56779976,1,0.539670306,Target
3739829,1,0.539196185,Target
3919795,1,0.538889702,Target
9019954,1,0.538629479,Target
93069776,1,0.538071916,Target
52189993,1,0.537614866,Target
41579936,1,0.53730187,Target
99259910,1,0.537195026,Target
21309958,1,0.535722414,Target
44029996,1,0.535596813,Target
28879854,1,0.535076698,Target
29019995,1,0.5349985,Target
79809829,1,0.534568685,Target
11819644,1,0.534423806,Target
97809684,1,0.532740059,Target
10359797,1,0.532300951,Target
94149747,1,0.532294525,Target
8639635,1,0.531920917,Target
8829778,1,0.531438172,Target
99519944,1,0.531165903,Target
83979666,1,0.53058354,Target
55289819,0.999999984,0.530536594,Target
23009992,1,0.530468819,Target
50099729,1,0.530203434,Target
14719716,1,0.52986449,Target
69919605,1,0.529755354,Target
41769844,1,0.529522587,Target
31889912,1,0.528685447,Target
35209950,1,0.528495926,Target
39139826,1,0.528392543,Target
64249721,1,0.528384427,Target
61499829,1,0.528170603,Target
30329827,1,0.527129076,Target
18129815,1,0.526854025,Target
9749794,1,0.526637932,Target
64829730,1,0.526345283,Target
71669958,1,0.525571083,Target
64749986,1,0.52499646,Target
42469797,1,0.524919541,Target
62039661,1,0.524434573,Target
72739761,0.997329622,0.524191556,Target
36569809,1,0.523829263,Target
37359574,1,0.52364352,Target
31929940,1,0.521002227,Target
